""
"BOM:526473","Elegant Flori and Agrotech India Ltd","Bombay Stock Exchange","India","Consumer Non-Cyclicals","71397.99001006995619","-0.4629155000","0.03494474861788","n/a"
"BOM:526519","Alpine Housing Development Corp Ltd","Bombay Stock Exchange","India","Real Estate","5624271.92883008449427","0.0395499000","0.30609999266427","13.748610"
"BOM:526727","Garnet Construction Ltd","Bombay Stock Exchange","India","Real Estate","8917251.63553427452968","-0.0220774000","0.29743049396136","n/a"
"BOM:526735","Excel Castronics Ltd","Bombay Stock Exchange","India","Consumer Non-Cyclicals","15364805.83657328060500","0.5081444000","n/a","n/a"
"BOM:526847","Ashirwad Steels And Industries Ltd","Bombay Stock Exchange","India","Basic Materials","210108.63548759261359","-0.8074464000","0.13671132569973","n/a"
"BOM:526917","CHD Developers Ltd","Bombay Stock Exchange","India","Real Estate","19432494.61490753646191","0.0006745000","n/a","n/a"
"BOM:530039","Lords Chemicals Ltd","Bombay Stock Exchange","India","Basic Materials","9031950.43714279998133","0.6161309000","n/a","n/a"
"BOM:530119","Natraj Proteins Ltd","Bombay Stock Exchange","India","Consumer Non-Cyclicals","19501850.60453081339904","-0.0513363000","1.11303025655047","3.567820"
"BOM:530187","Atharv Enterprises Ltd","Bombay Stock Exchange","India","Consumer Cyclicals","31158.31171516028569","-0.3847582000","0.02174043520883","67.691030"
"BOM:530251","Risa International Ltd","Bombay Stock Exchange","India","Consumer Cyclicals","0.00000000000000","n/a","0.00506832231862","n/a"
"BOM:530263","Global Capital Markets Ltd","Bombay Stock Exchange","India","Financials","614842.98204079999466","0.5011736000","0.05641843002047","11.093630"
"BOM:530449","Rungta Irrigation Ltd","Bombay Stock Exchange","India","Industrials","5928990.13677801415129","-0.0152870000","0.30676687717988","54.048970"
"BOM:530677","Supreme Holdings+Hospitality (India) Ltd","Bombay Stock Exchange","India","Real Estate","6033811.04494134750685","-0.4224551000","0.16405359083967","11.147560"
